learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
12000.0,1.0625,7.433807089303932E-8,12000.0,87.4,74.36596451110198,8.69565217391305,71.93763919821826,12000.0,247136.0,10.0,1205.5,1606.8796020721513,16367.199999999999,14405.09808520735,5.8,5.3499740393970345,4.4,3.8930136855083823,4.4,3.8930136855083823,1.2,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.140625,7.866322347480392E-8,13000.0,87.9,75.80348429826105,15.384615384615397,75.50607287449392,13000.0,214000.0,10.0,930.3,527.2598031331423,12989.6,11974.97898119241,4.3999999999999995,3.687817782917155,3.2,2.8596814119369625,3.2,2.8596814119369625,1.2000000000000002,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.203125,8.279609675001768E-8,14000.0,90.60000000000001,81.20390958680595,4.081632653061229,79.82832618025752,14000.0,255608.0,10.0,1923.6,525.6976739956573,16911.2,9961.400669026865,6.0,2.748737083745107,3.9999999999999996,2.4037008503093262,3.9999999999999996,2.4037008503093262,2.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.265625,8.66451753406889E-8,15000.0,88.3,75.8050507473551,19.31034482758622,74.0,15000.0,238056.0,10.0,2144.2,1342.0454372172187,15373.6,9580.239700086378,5.8999999999999995,3.4785054261852175,3.6999999999999997,2.3118054512532935,3.6999999999999997,2.3118054512532935,2.1,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.359375,9.245915053826241E-8,16000.0,88.8,76.8312612482158,31.707317073170753,73.39667458432304,16000.0,239720.0,10.0,2100.4,1789.910190174046,15479.199999999999,8491.869638398575,6.6,4.1952353926806065,3.8,2.0976176963403033,3.8,2.0976176963403033,2.6999999999999997,2.0027758514399734,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.40625,9.556326808200944E-8,17000.0,87.9,73.23719366539856,24.375000000000018,66.38888888888889,17000.0,255976.0,10.0,2635.8,1827.093794344815,17000.8,12443.373861885959,7.699999999999999,5.812821078348179,4.6,3.533962208186286,4.6,3.533962208186286,2.9,2.0789954839350235,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.5,1.0326957433587977E-7,18000.0,88.3,75.87807915288762,15.827338129496415,71.73913043478262,18000.0,317744.0,10.0,3269.2,2223.3906439390166,23119.2,23395.43323338505,9.8,9.186947262284681,6.4,6.275171533733382,6.4,6.275171533733382,3.1,2.558211180579986,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.546875,1.0815174189499685E-7,19000.0,90.9,79.30312954876274,32.08955223880599,74.3661971830986,19000.0,402600.0,10.0,4255.7,2225.4625012442793,31594.4,28319.87923389191,12.0,10.219806477837261,8.0,7.1492035298424055,8.0,7.1492035298424055,3.4,2.503331114069145,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.625,1.1417946855848037E-7,20000.0,82.19999999999999,64.47956577266922,-43.548387096774235,65.36964980544747,20000.0,298240.0,10.0,2774.1,3245.9124534644425,21451.2,24670.223368803672,9.5,10.244239573752873,6.5,6.835365551469959,6.5,6.835365551469959,2.5,2.758824226207808,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.6875,1.182682333617575E-7,21000.0,83.2,65.5985846274818,8.196721311475414,62.16216216216215,21000.0,252880.0,10.0,1565.3,1868.9790469071015,16916.0,17075.834308558202,5.7,6.23698645180507,4.1000000000000005,4.254409477236529,4.1000000000000005,4.254409477236529,1.4,1.6465452046971292,0.0,0.0,0.0,0.0,1.0,0.0
