learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent)- first measurement,classifications correct (percent)- last measurement,model training instances,model serialized size (bytes)
34000.0,93.890625,0.0046615209796517666,1155.0,59.699999999999996,60.699999999999996,1155.0,3.362828E8
35000.0,100.828125,0.005301404368882584,1204.0,59.699999999999996,61.0,1204.0,3.56533392E8
36000.0,108.15625,0.006015692136586747,1258.0,60.4,61.6,1258.0,3.76775552E8
37000.0,117.125,0.00693111023826835,1307.0,61.4,62.2,1307.0,3.94539008E8
38000.0,126.578125,0.007958633029775229,1370.0,61.3,62.6,1370.0,4.20163608E8
39000.0,136.015625,0.009048087731126645,1430.0,61.7,62.9,1430.0,4.46225704E8
40000.0,145.75,0.010228566886669595,1483.0,62.0,63.6,1483.0,4.6876224E8
41000.0,157.09375,0.011667918673451318,1533.0,62.3,63.6,1533.0,4.90470256E8
42000.0,167.125,0.013001858157189823,1589.0,62.1,63.0,1589.0,5.14024056E8
43000.0,176.640625,0.014313327763876362,1630.0,61.199999999999996,63.6,1630.0,5.32749784E8
44000.0,186.421875,0.01572469567310893,1684.0,62.1,64.0,1684.0,5.57761136E8
45000.0,196.765625,0.017270166521064112,1731.0,62.3,63.6,1731.0,5.77544128E8
46000.0,207.15625,0.018870795452740927,1770.0,62.4,63.7,1770.0,5.95458312E8
47000.0,217.671875,0.020568382651803812,1825.0,61.9,63.3,1825.0,6.2402124E8
48000.0,228.140625,0.022322688984568236,1872.0,61.199999999999996,62.3,1872.0,6.4775828E8
49000.0,239.546875,0.024306177824619232,1922.0,61.4,62.3,1922.0,6.72185664E8
50000.0,250.328125,0.026257376239324615,1974.0,61.7,63.4,1974.0,6.99575656E8
51000.0,261.375,0.02833705632905347,2030.0,61.199999999999996,62.7,2030.0,7.2771188E8
52000.0,273.25,0.030644160729878227,2078.0,61.6,62.2,2078.0,7.50993192E8
53000.0,285.0,0.03300999815042209,2127.0,61.199999999999996,62.1,2127.0,7.78304248E8
54000.0,296.78125,0.035447358648816596,2164.0,61.0,61.9,2164.0,7.9970676E8
55000.0,309.3125,0.03813613643232708,2216.0,60.3,61.7,2216.0,8.29397816E8
56000.0,322.609375,0.04108832235486868,2268.0,61.1,61.9,2268.0,8.58215768E8
57000.0,335.609375,0.04408651850018133,2325.0,60.6,60.6,2325.0,8.91495304E8
58000.0,348.625,0.04718754539974422,2372.0,60.0,60.8,2372.0,9.20964472E8
59000.0,361.578125,0.05037318519927794,2423.0,60.5,61.4,2423.0,9.50658384E8
60000.0,374.421875,0.05361654967661404,2468.0,60.4,61.1,2468.0,9.76126904E8
61000.0,388.140625,0.057169514971028554,2509.0,60.0,60.699999999999996,2509.0,1.001103072E9
62000.0,404.921875,0.06162748018580412,2551.0,59.4,60.0,2551.0,1.02686828E9
63000.0,421.921875,0.06625808661483462,2593.0,59.3,60.199999999999996,2593.0,1.052910168E9
64000.0,439.875,0.07127576078259154,2639.0,59.3,59.8,2639.0,1.080350736E9
65000.0,457.359375,0.07628267969722705,2678.0,59.099999999999994,59.5,2678.0,1.106936776E9
66000.0,474.640625,0.08135041947683527,2719.0,58.699999999999996,59.099999999999994,2719.0,1.1335522E9
67000.0,492.4375,0.08668111542553461,2757.0,58.5,59.099999999999994,2757.0,1.15782396E9
68000.0,510.234375,0.09212011822974699,2795.0,58.3,59.599999999999994,2795.0,1.181348144E9
69000.0,528.625,0.09790522891316668,2852.0,59.0,60.3,2852.0,1.215955144E9
70000.0,546.046875,0.10352300920960263,2897.0,59.3,60.0,2897.0,1.24644244E9
71000.0,564.734375,0.10975034397583741,2961.0,58.199999999999996,58.599999999999994,2961.0,1.288111264E9
72000.0,583.078125,0.11599474680619704,3008.0,57.99999999999999,58.8,3008.0,1.315846288E9
73000.0,602.578125,0.12279709899807738,3059.0,58.199999999999996,59.099999999999994,3059.0,1.34842524E9
74000.0,621.953125,0.12974109786029053,3110.0,58.599999999999994,59.599999999999994,3110.0,1.385384424E9
75000.0,642.125,0.137189476585352,3171.0,58.599999999999994,59.8,3171.0,1.427308504E9
76000.0,662.09375,0.14476868916173571,3227.0,59.0,60.6,3227.0,1.467153584E9
77000.0,681.796875,0.1523918895022103,3267.0,59.199999999999996,59.8,3267.0,1.495562584E9
78000.0,701.6875,0.16026262064580807,3313.0,59.099999999999994,60.4,3313.0,1.529568808E9
