learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5500.0,0.609375,2.678942918363545E-8,5500.0,89.60000000000001,79.07815115231107,78.81873727087577,79.28286852589642,5500.0,198120.0,10.0,4321.100000000001,1891.9910412050053,11200.0,4565.848880547844,3.0,1.632993161855452,1.9999999999999998,0.816496580927726,1.9999999999999998,0.816496580927726,1.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.671875,3.0176209596296156E-8,6000.0,89.9,79.81598573929448,79.04564315352698,79.30327868852459,6000.0,209464.0,10.0,4816.900000000001,1887.88467456157,12262.4,5087.319031998419,3.4000000000000004,1.837873166945363,2.2,0.9189365834726815,2.2,0.9189365834726815,1.2000000000000002,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
6500.0,0.71875,3.299957218890389E-8,6500.0,89.2,78.32509151628027,77.9591836734694,78.90625,6500.0,232824.0,10.0,5310.6,1883.6550875595271,14555.199999999999,6563.821326026479,4.199999999999999,2.3475755815545343,2.5999999999999996,1.1737877907772671,2.5999999999999996,1.1737877907772671,1.4,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.78125,3.685110843636924E-8,7000.0,89.3,78.61796091283321,77.75467775467776,77.98353909465021,7000.0,238208.0,10.0,5820.8,1885.7643778820536,15074.4,5954.524016801567,4.3999999999999995,2.1186998109427604,2.6999999999999997,1.0593499054713802,2.6999999999999997,1.0593499054713802,1.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
7500.0,0.8125,3.905252217211658E-8,7500.0,90.0,79.96192766255886,79.29606625258799,78.54077253218884,7500.0,272304.0,10.0,6317.399999999999,1896.7027061602341,18469.600000000002,5923.884671395957,5.6000000000000005,2.1186998109427604,3.3000000000000003,1.0593499054713802,3.3000000000000003,1.0593499054713802,1.7000000000000002,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.859375,4.234445643507773E-8,8000.0,88.8,77.55690926579032,77.77777777777779,77.32793522267207,8000.0,271464.0,10.0,6060.4,2738.567882022362,18469.600000000002,5923.884671395957,5.6000000000000005,2.1186998109427604,3.3000000000000003,1.0593499054713802,3.3000000000000003,1.0593499054713802,1.7000000000000002,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
8500.0,0.90625,4.535786704056794E-8,8500.0,89.8,79.60195821201165,79.43548387096774,79.39393939393939,8500.0,248496.0,10.0,5312.7,3701.4037592363375,16232.8,7662.831226120016,4.8,2.7406406388125952,2.9,1.3703203194062976,2.9,1.3703203194062976,1.4,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.953125,4.8381463986718005E-8,9000.0,91.9,83.80000000000001,83.16008316008316,83.43558282208589,9000.0,249336.0,10.0,5818.7,3693.9309098393633,16232.8,7662.831226120016,4.8,2.7406406388125952,2.9,1.3703203194062976,2.9,1.3703203194062976,1.4,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
9500.0,0.953125,4.8381463986718005E-8,9500.0,92.5,84.99819978397409,85.40856031128405,84.59958932238195,9500.0,249672.0,10.0,6317.3,3698.844535797632,16232.8,7662.831226120016,4.8,2.7406406388125952,2.9,1.3703203194062976,2.9,1.3703203194062976,1.4,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0,5.1413210005395957E-8,10000.0,91.9,83.79909274919396,83.80000000000001,83.29896907216495,10000.0,250008.0,10.0,6827.799999999999,3691.800819232924,16232.8,7662.831226120016,4.8,2.7406406388125952,2.9,1.3703203194062976,2.9,1.3703203194062976,1.4,0.9660917830792959,0.0,0.0,0.0,0.0,1.0,0.0
