learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,1.4375,2.685684723676079E-5,1000.0,30.87452843660418,44.999865104396754,1000.0,7.221868E7
2000.0,5.484375,1.41504098687114E-4,1000.0,27.601709365330684,39.81569016851068,2000.0,1.09508096E8
Out 0: -1.303 ,26.0
Out 0: 1.452 ,17.0
Out 0: 1.657 ,-7.0
Out 0: -0.691 ,16.0
Out 0: 1.762 ,7.0
Out 0: 2.767 ,-53.0
Out 0: -7.688 ,26.0
Out 0: -3.503 ,31.0
Out 0: -0.814 ,17.0
Out 0: 6.243 ,45.0
Out 0: 10.815 ,-3.0
Out 0: 5.588 ,4.0
Out 0: 3.341 ,-60.0
Out 0: -12.023 ,-60.0
Out 0: -19.39 ,-92.0
Out 0: -29.084 ,-92.0
Out 0: -33.464 ,-102.0
Out 0: -13.537 ,0.0
Out 0: -30.204 ,-67.0
Out 0: -39.384 ,-14.0
Out 0: -23.52 ,-52.0
Out 0: -35.683 ,-69.0
Out 0: -20.874 ,25.0
Out 0: -13.767 ,-5.0
Out 0: -14.547 ,23.0
Out 0: -12.023 ,-67.0
Out 0: -13.282 ,12.0
Out 0: -18.481 ,9.0
Out 0: -23.983 ,-52.0
Out 0: -12.431 ,31.0
Out 0: -5.632 ,12.0
Out 0: -19.479 ,-72.0
Out 0: -7.727 ,36.0
Out 0: 0.185 ,45.0
Out 0: 1.486 ,21.0
Out 0: 8.457 ,-9.0
Out 0: -30.74 ,-46.0
Out 0: -0.981 ,0.0
Out 0: 1.993 ,84.0
Out 0: 8.674 ,-49.0
Out 0: 3.666 ,-1.0
Out 0: -0.838 ,11.0
Out 0: 4.931 ,71.0
Out 0: -18.242 ,-36.0
Out 0: -19.892 ,-36.0
Out 0: 8.323 ,64.0
Out 0: 8.352 ,11.0
Out 0: 2.35 ,-47.0
Out 0: 6.695 ,-37.0
Out 0: -9.99 ,-72.0
Out 0: 4.396 ,46.0
Out 0: -6.145 ,57.0
Out 0: 9.556 ,43.0
Out 0: -13.1 ,-17.0
Out 0: 11.155 ,5.0
Out 0: -19.015 ,-46.0
Out 0: 13.14 ,75.0
Out 0: -28.765 ,-77.0
Out 0: 17.018 ,57.0
Out 0: -22.617 ,8.0
Out 0: -6.989 ,-51.0
Out 0: 14.464 ,24.0
Out 0: 24.009 ,83.0
Out 0: 16.738 ,4.0
Out 0: -23.877 ,-52.0
Out 0: 14.573 ,-33.0
Out 0: 21.514 ,102.0
Out 0: -14.833 ,-9.0
Out 0: 6.599 ,4.0
Out 0: 10.365 ,52.0
Out 0: -21.057 ,-35.0
Out 0: 30.877 ,102.0
Out 0: -9.728 ,-9.0
