learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),number of subtrees,tree size (nodes),tree size (leaves),number of option nodes
53000.0,1.9375,7.795668271784152E-7,1000.0,0.5399008636727614,0.6717508611626879,53000.0,266288.0,10.0,458.0,231.0,3.0
54000.0,1.953125,7.806538229083848E-7,1000.0,0.7035275632176562,0.9260094015178069,54000.0,268912.0,10.0,464.0,234.0,3.0
55000.0,1.953125,7.806538229083848E-7,1000.0,0.7139656832196433,0.9226596752363436,55000.0,161912.0,10.0,472.0,238.0,3.0
56000.0,1.96875,7.816503704008127E-7,1000.0,0.594160156729521,0.7664638043060377,56000.0,246536.0,10.0,474.0,239.0,3.0
57000.0,1.984375,7.840061314507489E-7,1000.0,0.5626634663507222,0.7379114412132196,57000.0,582792.0,10.0,476.0,240.0,3.0
58000.0,1.984375,7.840061314507489E-7,1000.0,0.5670856500695634,0.7231963704390872,58000.0,500440.0,10.0,482.0,243.0,3.0
59000.0,2.0,7.873853448674909E-7,1000.0,0.5147337238566685,0.6538272678139037,59000.0,835984.0,10.0,484.0,244.0,3.0
60000.0,2.03125,7.928047367992499E-7,1000.0,0.585296189211636,0.7692334512536642,60000.0,670352.0,10.0,488.0,246.0,3.0
61000.0,2.046875,7.968733876219225E-7,1000.0,0.5451747361577866,0.6866348056001567,61000.0,1006544.0,10.0,490.0,247.0,3.0
62000.0,2.09375,8.111243692433667E-7,1000.0,0.5518422755106117,0.6963734462022843,62000.0,1175184.0,10.0,494.0,249.0,3.0
63000.0,2.109375,8.155389675974016E-7,1000.0,0.6059134393428632,0.8276073075209829,63000.0,1092128.0,10.0,500.0,252.0,3.0
64000.0,2.140625,8.223505574278531E-7,1000.0,0.5726385902724377,0.765290837144955,64000.0,842560.0,10.0,504.0,254.0,3.0
65000.0,2.171875,8.305427036248145E-7,1000.0,0.6518090647191703,0.872543449795587,65000.0,1013328.0,10.0,508.0,256.0,3.0
66000.0,2.1875,8.353224580383133E-7,1000.0,0.5624279799724732,0.7368675806536205,66000.0,1182464.0,10.0,514.0,259.0,3.0
67000.0,2.21875,8.476003293051486E-7,1000.0,0.5260440305585772,0.6801998817103128,67000.0,1518712.0,10.0,516.0,260.0,3.0
68000.0,2.25,8.625862149832147E-7,1000.0,0.4909847135739104,0.6362780884874794,68000.0,1853680.0,10.0,518.0,261.0,3.0
69000.0,2.3125,8.979857860443491E-7,1000.0,0.5055611342450598,0.6638451578173914,69000.0,2189376.0,10.0,520.0,262.0,3.0
70000.0,2.359375,9.296069038100538E-7,1000.0,0.5318070228617082,0.700498856653722,70000.0,2607584.0,10.0,520.0,262.0,3.0
71000.0,2.4375,9.78950508094082E-7,1000.0,0.5161128263131777,0.6912944489586458,71000.0,2441424.0,10.0,526.0,265.0,3.0
72000.0,2.484375,1.0075459916455047E-6,1000.0,0.5954398788645829,0.7909043352558601,72000.0,2358080.0,10.0,530.0,267.0,3.0
73000.0,2.5625,1.0095470416773522E-6,1000.0,0.7542851059354142,1.00842302234967,73000.0,99008.0,10.0,540.0,272.0,3.0
74000.0,2.5625,1.0095470416773522E-6,1000.0,0.7465583579367265,0.9338807340872018,74000.0,268960.0,10.0,546.0,275.0,3.0
75000.0,2.5625,1.0095470416773522E-6,1000.0,0.6773428047703202,0.8807666719899269,75000.0,439224.0,10.0,552.0,278.0,3.0
76000.0,2.578125,1.0113299099935423E-6,1000.0,0.66592346657108,0.8598433724607577,76000.0,441064.0,10.0,558.0,281.0,3.0
77000.0,2.59375,1.0134588551914524E-6,1000.0,0.676490071338734,0.8613638296607689,77000.0,526680.0,10.0,564.0,284.0,3.0
78000.0,2.609375,1.0166144865151078E-6,1000.0,0.6686373364894362,0.839360146449193,78000.0,780672.0,10.0,568.0,286.0,3.0
79000.0,2.625,1.0204615601752364E-6,1000.0,0.5917853690192211,0.7634331465840635,79000.0,951728.0,10.0,574.0,289.0,3.0
80000.0,2.640625,1.0236363030142252E-6,1000.0,0.7011172370349357,0.9097927870897103,80000.0,785400.0,10.0,586.0,295.0,3.0
81000.0,2.6875,1.035223605059501E-6,1000.0,0.6907551134160905,0.8909941871835352,81000.0,955528.0,10.0,590.0,297.0,3.0
82000.0,2.734375,1.0498785478476846E-6,1000.0,0.635806708035915,0.8419116939138573,82000.0,1208496.0,10.0,594.0,299.0,3.0
83000.0,2.796875,1.0762109175427917E-6,1000.0,0.5706072571610864,0.7456197753575782,83000.0,1628592.0,10.0,594.0,299.0,3.0
84000.0,2.859375,1.106623644267933E-6,1000.0,0.5036726687900624,0.6474459541888586,84000.0,1880952.0,10.0,598.0,301.0,3.0
85000.0,2.890625,1.123206942187001E-6,1000.0,0.6280291958637477,0.8536341737784555,85000.0,2051272.0,10.0,604.0,304.0,3.0
86000.0,2.9375,1.1470921648045379E-6,1000.0,0.5929464503326412,0.7832862273014437,86000.0,1969656.0,10.0,614.0,309.0,3.0
87000.0,3.0,1.1789644809646737E-6,1000.0,0.6573450178933417,0.9080701284424952,87000.0,1971224.0,10.0,620.0,312.0,3.0
88000.0,3.046875,1.2029322614479394E-6,1000.0,0.6951219008440311,0.9164727011710871,88000.0,1976464.0,10.0,628.0,316.0,3.0
89000.0,3.09375,1.2041756740978193E-6,1000.0,0.7248721519438347,0.9637261882370003,89000.0,102536.0,10.0,634.0,319.0,3.0
90000.0,3.09375,1.2041756740978193E-6,1000.0,0.7686346995248947,0.9834858337930766,90000.0,355976.0,10.0,638.0,321.0,3.0
91000.0,3.09375,1.2041756740978193E-6,1000.0,0.7094574108430406,0.9231924612659708,91000.0,442856.0,10.0,644.0,324.0,3.0
92000.0,3.109375,1.204955850779596E-6,1000.0,0.6797314476303726,0.8795662678575693,92000.0,193008.0,10.0,654.0,329.0,3.0
93000.0,3.109375,1.204955850779596E-6,1000.0,0.6722331399863489,0.8484093351609342,93000.0,612952.0,10.0,654.0,329.0,3.0
94000.0,3.125,1.2084562331438062E-6,1000.0,0.5581983315570984,0.7310142580906582,94000.0,865960.0,10.0,658.0,331.0,3.0
95000.0,3.15625,1.2168326389251482E-6,1000.0,0.5939089902871422,0.7530525482755237,95000.0,1036120.0,10.0,662.0,333.0,3.0
96000.0,3.171875,1.2200116503259373E-6,1000.0,0.5994956562463574,0.8182598628674996,96000.0,786456.0,10.0,670.0,337.0,3.0
97000.0,3.1875,1.2242151812339822E-6,1000.0,0.6962099880286813,0.9374762668900639,97000.0,1039912.0,10.0,674.0,339.0,3.0
98000.0,3.21875,1.2333161430433392E-6,1000.0,0.5950139818338304,0.7638916371179901,98000.0,1125744.0,10.0,680.0,342.0,3.0
99000.0,3.234375,1.2385528922701875E-6,1000.0,0.6162623614868232,0.8437713018222154,99000.0,1295520.0,10.0,684.0,344.0,3.0
100000.0,3.265625,1.248367350651986E-6,1000.0,0.6299479365393129,0.8545963606126936,100000.0,1214000.0,10.0,694.0,349.0,3.0
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.03125,2.9928438986341157E-9,1000.0,0.7212174751502956,0.9250932431720007,1000.0,370200.0
2000.0,0.0625,6.70021917257044E-9,1000.0,0.6901017715211049,0.893027597463094,2000.0,458584.0
3000.0,0.09375,1.1115270252856943E-8,1000.0,0.7973334004368111,1.0337329926620598,3000.0,546120.0
4000.0,0.125,1.6916439765029482E-8,1000.0,0.6969951249820421,0.8719240351163305,4000.0,717576.0
5000.0,0.15625,2.409945914728774E-8,1000.0,0.5819380370838623,0.7362273463998633,5000.0,888504.0
6000.0,0.203125,3.392821074359947E-8,1000.0,0.7516272786570584,0.9928433416510333,6000.0,810512.0
7000.0,0.234375,4.186023337145647E-8,1000.0,0.7205096271655259,0.9329617138372552,7000.0,981152.0
8000.0,0.28125,5.584394481653969E-8,1000.0,0.7110898875169732,0.934281784352283,8000.0,1153144.0
9000.0,0.3125,6.654542327548067E-8,1000.0,0.6384578713873146,0.8142732156547073,9000.0,1323720.0
10000.0,0.359375,8.566615482171378E-8,1000.0,0.6574419777631935,0.8522977779082823,10000.0,1576760.0
